estatisticas mensais clima
 Mes= 01
   11.4800   12.9000   13.5700   11.7900   10.6400   11.7100   14.2200   14.4800   14.2700   14.1000   15.6400   15.0100   14.7700
   12.7300   14.9700   16.3100   14.1000   12.8600   13.0900   16.5400   16.6300   17.9500   16.1000   18.2000   17.1100   17.9600
   13.5900   16.4800   18.9300   15.6000   14.4700   14.2600   18.0500   18.3000   20.1300   17.3000   19.5500   19.2700   20.6600
   49.9500  127.8600  211.5100   42.4100   39.1900   39.8500   54.4400   68.9500  102.6600   58.5900   61.5300   84.8500  109.1700
   49.8800  127.8500  211.5100   42.4100   39.1900   39.8500   54.4400   68.9500  102.6600   58.5900   61.5300   84.8500  109.1700
   10.3460   17.3621   20.5320    6.4263    6.4355    7.1464    7.1590    8.2567   10.5122    7.7950    7.1063    9.4361   10.8940
    4.8192    7.3607   10.2972    6.5967    6.0871    5.5739    7.6012    8.3474    9.7618    7.5132    8.6550    8.9884   10.0170
 1333.0000 1333.0000 1333.0000 1333.0000 1333.0000 1333.0000 1333.0000 1333.0000 1333.0000 1333.0000 1333.0000 1333.0000 1333.0000
 1215.0000 1215.0000 1215.0000 1215.0000 1215.0000 1215.0000 1215.0000 1215.0000 1215.0000 1215.0000 1215.0000 1215.0000 1215.0000
  118.0000  118.0000  118.0000  118.0000  118.0000  118.0000  118.0000  118.0000  118.0000  118.0000  118.0000  118.0000  118.0000
    8.8522    8.8522    8.8522    8.8522    8.8522    8.8522    8.8522    8.8522    8.8522    8.8522    8.8522    8.8522    8.8522
    0.0700    0.0100    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.2600    0.0600    0.0200    0.0000    0.0000    0.0100    0.0100    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    1.1400    0.5200    0.3700    0.2400    0.0700    0.5800    0.4700    0.3000    0.1700    0.6800    0.0800    0.1600    0.1300
   16.0800   20.7800   25.5500   19.8900   17.5200   17.0900   24.3600   24.0600   28.6000   22.1100   26.1100   26.5500   29.2600
   19.7400   28.3800   40.2600   30.4600   27.5800   25.1300   33.7200   41.0700   46.1900   35.7400   38.1500   41.8900   47.1700
   29.9500   35.8300   53.1600   41.2300   36.5600   34.1300   44.1500   52.9600   57.6500   52.6300   50.2600   51.8200   54.6200
    1.4984    4.5937    7.4866    1.8370    1.7875    1.5335    1.7626    2.1985    2.6765    2.0222    1.7352    2.2487    2.7267
    5.9186   58.9624  126.2116    4.4444    4.0947    3.5828    4.2471    7.4155   11.6448    6.4225    3.9278    7.8619   12.4308
 Mes= 03
    6.4724    6.7404    7.0205    6.1875    5.6846    6.3353    7.5214    8.5284    8.2311    8.4501    7.7639    8.0596    8.2076
    4.7505    6.8553    8.4355    7.1868    6.2278    5.1043    7.1361    8.3684    9.4754    7.3771    8.2641    8.7932    9.8449
    0.1100    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    1.5300    0.8700    0.7000    0.4100    0.2800    1.0900    1.0100    0.8500    0.6200    1.2200    0.4400    0.5500    0.4800
    1.8600    1.0600    0.8800    0.5500    0.4200    1.3600    1.2300    1.1600    0.8500    1.6400    0.5900    0.7100    0.6500
    2.2300    1.3900    1.1400    0.7900    0.6500    1.7200    1.6300    1.6900    1.1900    2.3000    0.9400    1.0900    1.0000
    3.0100    2.1300    1.7700    1.3600    1.1500    2.4700    2.5600    2.8100    1.9900    3.3200    1.7500    2.0200    1.7500
    3.7200    2.8600    2.4300    2.0300    1.8600    3.1600    3.5400    3.7700    2.9200    4.2700    2.6900    3.0100    2.5500
    5.5100    4.8000    4.1200    3.8200    3.6400    5.1300    5.8000    6.4300    5.0200    6.6700    5.0300    5.3700    5.0400
    7.2600    7.1600    6.7700    6.4400    6.1900    7.3400    8.5400    9.4700    8.2100    9.4300    8.8300    8.3800    8.1100
    8.8300    9.0000    9.0300    8.4200    7.9600    8.8100   10.3200   11.6600   10.8000   11.5900   11.2200   10.6800   10.5200
   10.7100   11.7400   12.3800   10.6100   10.5900   10.9100   12.5800   14.8200   14.6300   14.3100   14.1800   14.5200   14.9900
   11.8500   13.2900   15.2700   13.2300   12.4800   12.1800   14.4200   17.2600   17.7500   15.9200   16.8000   17.6600   17.9300
   12.7500   14.9000   17.3400   15.1300   14.2400   13.2500   15.8700   18.6000   19.5200   17.3600   18.1900   19.2700   20.2100
