SAE01_RB_conf_Madred SAE02_Cach_Esp SAE03_bacia-rio-Guapore SAE04_JRB-Jirau SAE05_Inc_ate_JRB SAE06_JRB-SAE SAE07_Jirau-SAE SAE08_Bacia_Inc_JPVila SAE09_Bacia_JPVila SAE10_Bacia_MontJP SAE11_Tot_JRB SAE12_MadredD SAE13_Bacia-rio-Mamore STAT01_Fruteira_ES STAT02_Francisco_gros_ES STAT03_FG_taici_SK STAT04_FG_Inc_bracoesquerdo_SK STAT05_FG_Inc_bracodireito_SK STAT06_FG_Ibitirama_SK STAT07_FG_montante_flu STAT08_FG_sao_simao_jusante_flu 
   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000
   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000
    0.7115    1.2637   -1.0000   -1.0000    4.7088   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000    1.2208    1.4757    0.1366    2.0964    1.3090    1.4055    0.1266    1.5988    3.0779    1.9512    1.3355
   -0.4511    1.2099   -1.0000   -1.0000   22.6068   -1.0000   -1.0000   -1.0000   -1.0000   -1.0000    1.0294    1.7301   -0.6530    4.7919    0.8172    1.2433   -0.6919    1.7049   10.5006    4.1700    1.0067
 00 2021 07 13 -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99 
    0.2994    0.4140    0.0000    0.0000    0.0037    0.0000    0.0000    0.0000    0.0000    0.0000    0.1249    0.6380    0.0200    0.1343    0.0334    0.0323    0.8451    0.0171    0.0051    0.0157    0.0331
    0.1070    0.1530    0.0000    0.0000    0.0091    0.0000    0.0000    0.0000    0.0000    0.0000    0.0463    0.2559    0.0128    0.1328    0.0465    0.0461    0.4935    0.0265    0.0078    0.0194    0.0461
    0.1100    0.1700    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0500    0.2300    0.0000    0.0000    0.0000    0.0000    0.0600    0.0000    0.0000    0.0000    0.0000
    0.1500    0.2100    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0600    0.3200    0.0100    0.0000    0.0000    0.0000    0.2400    0.0000    0.0000    0.0000    0.0000
    0.1700    0.2200    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0700    0.3200    0.0100    0.0000    0.0000    0.0000    0.2400    0.0000    0.0000    0.0000    0.0000
    0.2000    0.2300    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0700    0.3400    0.0100    0.0000    0.0000    0.0000    0.2800    0.0000    0.0000    0.0000    0.0000
