GFS1P00H03T00E00 00 0 20210712 00
GFS0P50H03T00E00 01 0 20210712 00
GFS0P25H03T00E00 02 0 20210712 00
GFS0P25H01T00E00 03 0 20210712 00
GEFS0P50H06T00E00 04 0 20210712 00
GEFS0P50H06T00E01 05 0 20210712 00
GEFS0P50H06T00E02 06 0 20210712 00
GEFS0P50H06T00E03 07 0 20210712 00
GEFS0P50H06T00E04 08 0 20210712 00
GEFS0P50H06T00E05 09 0 20210712 00
GEFS0P50H06T00E06 10 0 20210712 00
GEFS0P50H06T00E07 11 0 20210712 00
GEFS0P50H06T00E08 12 0 20210712 00
GEFS0P50H06T00E09 13 0 20210712 00
GEFS0P50H06T00E10 14 0 20210712 00
GEFS0P50H06T00E11 15 0 20210712 00
GEFS0P50H06T00E12 16 0 20210712 00
GEFS0P50H06T00E13 17 0 20210712 00
GEFS0P50H06T00E14 18 0 20210712 00
GEFS0P50H06T00E15 19 0 20210712 00
GEFS0P50H06T00E16 20 0 20210712 00
GEFS0P50H06T00E17 21 0 20210712 00
GEFS0P50H06T00E18 22 0 20210712 00
GEFS0P50H06T00E19 23 0 20210712 00
GEFS0P50H06T00E20 24 0 20210712 00
GEFS0P50H06T00E21 25 0 20210712 00
GEFS0P50H06T00E22 26 0 20210712 00
GEFS0P50H06T00E23 27 0 20210712 00
GEFS0P50H06T00E24 28 0 20210712 00
GEFS0P50H06T00E25 29 0 20210712 00
GEFS0P50H06T00E26 30 0 20210712 00
GEFS0P50H06T00E27 31 0 20210712 00
GEFS0P50H06T00E28 32 0 20210712 00
GEFS0P50H06T00E29 33 0 20210712 00
GEFS0P50H06T00E30 34 0 20210712 00
