GFS1P00H03T00E00 00 00 2021/07/12 99 2021 07 12 00    0.17     0.17     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.22     0.02     0.01     0.01     0.01     0.92     0.00     0.00     0.00     0.01 
GFS1P00H03T00E00 00 01 2021/07/13 99 2021 07 12 00    0.27     0.33     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.48     0.01     0.00     0.00     0.00     0.29     0.00     0.00     0.00     0.00 
GFS1P00H03T00E00 00 02 2021/07/14 99 2021 07 12 00    0.91     1.25     0.00     0.00     0.04     0.00     0.00     0.00     0.00     0.00     0.38     1.91     0.08     0.01     0.01     0.01     0.19     0.00     0.00     0.00     0.01 
GFS1P00H03T00E00 00 03 2021/07/15 99 2021 07 12 00    1.88     1.48     0.06     0.00     0.06     0.01     0.03     0.03     0.03     0.03     0.66     1.47     0.87     0.00     0.00     0.00     0.05     0.00     0.00     0.00     0.00 
GFS1P00H03T00E00 00 04 2021/07/16 99 2021 07 12 00    4.57     3.30     0.13     0.05     0.17     0.09     0.21     0.14     0.12     0.10     2.04     2.95     4.25     0.00     0.00     0.00     0.48     0.00     0.00     0.00     0.00 
GFS1P00H03T00E00 00 05 2021/07/17 99 2021 07 12 00    1.95     2.07     0.14     2.27     1.00     2.30     2.36     2.20     2.15     2.03     0.96     2.45     0.53     0.02     0.00     0.00     0.86     0.00     0.00     0.00     0.00 
GFS1P00H03T00E00 00 06 2021/07/18 99 2021 07 12 00    1.80     2.67     0.00     3.65     1.03     3.43     2.84     2.97     2.30     1.77     1.07     3.74     0.26     0.59     1.40     0.71     4.17     1.91     1.91     2.54     1.10 
GFS1P00H03T00E00 00 07 2021/07/19 99 2021 07 12 00    0.41     0.43     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.13     0.57     0.04     4.72     6.59     4.93    12.57     6.19     6.19     8.26     5.86 
GFS1P00H03T00E00 00 08 2021/07/20 99 2021 07 12 00    0.82     0.56     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.21     0.46     0.18     0.03     0.01     0.02     0.33     0.00     0.00     0.01     0.02 
GFS1P00H03T00E00 00 09 2021/07/21 99 2021 07 12 00    1.28     0.87     0.19     0.07     0.02     0.10     0.16     0.16     0.14     0.12     0.57     0.73     1.00     0.00     0.00     0.00     0.58     0.00     0.00     0.00     0.00 
GFS1P00H03T00E00 00 10 2021/07/22 99 2021 07 12 00    1.13     1.06     0.45     0.13     0.13     0.12     0.07     0.04     0.05     0.05     0.60     1.25     0.47     0.00     0.00     0.00     0.18     0.00     0.00     0.00     0.00 
GFS1P00H03T00E00 00 11 2021/07/23 99 2021 07 12 00    0.74     1.28     0.08     0.33     0.38     0.48     0.84     0.62     0.77     0.85     0.47     2.05     0.08     0.00     0.00     0.00     0.32     0.00     0.00     0.00     0.00 
GFS1P00H03T00E00 00 12 2021/07/24 99 2021 07 12 00    1.53     1.41     0.26     0.08     0.34     0.06     0.00     0.00     0.00     0.00     0.67     1.56     0.65     0.04     0.00     0.00     0.15     0.00     0.00     0.00     0.00 
GFS1P00H03T00E00 00 13 2021/07/25 99 2021 07 12 00    1.65     1.19     0.50     0.05     0.03     0.04     0.00     0.00     0.00     0.00     0.92     1.07     1.63     0.00     0.14     0.06     0.64     0.22     0.22     0.29     0.11 
GFS1P00H03T00E00 00 14 2021/07/26 99 2021 07 12 00    4.54     4.89     1.47     0.87     1.38     0.69     0.24     0.21     0.16     0.13     2.79     5.97     3.15     0.12     0.76     0.93     0.48     0.08     0.08     0.10     0.83 
GFS1P00H03T00E00 00 15 2021/07/27 99 2021 07 12 00    5.95     5.14     0.52     1.99     1.61     2.11     2.36     2.05     2.28     2.37     2.31     5.11     1.90     0.04     0.56     0.72     0.09     0.00     0.00     0.00     0.63 
GFS0P50H03T00E00 01 00 2021/07/12 99 2021 07 12 00    0.17     0.18     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.24     0.02     0.08     0.05     0.05     1.02     0.03     0.00     0.02     0.05 
GFS0P50H03T00E00 01 01 2021/07/13 99 2021 07 12 00    0.27     0.33     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.48     0.01     0.00     0.02     0.01     0.24     0.01     0.00     0.01     0.02 
GFS0P50H03T00E00 01 02 2021/07/14 99 2021 07 12 00    0.94     1.32     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.40     2.05     0.06     0.04     0.00     0.00     0.24     0.00     0.00     0.00     0.00 
GFS0P50H03T00E00 01 03 2021/07/15 99 2021 07 12 00    1.89     1.50     0.06     0.00     0.01     0.01     0.02     0.03     0.02     0.00     0.66     1.55     0.84     0.00     0.00     0.00     0.14     0.00     0.00     0.00     0.00 
GFS0P50H03T00E00 01 04 2021/07/16 99 2021 07 12 00    5.02     3.46     0.09     0.09     0.15     0.10     0.15     0.22     0.13     0.06     2.11     2.89     4.40     0.00     0.00     0.00     0.46     0.00     0.00     0.00     0.00 
GFS0P50H03T00E00 01 05 2021/07/17 99 2021 07 12 00    1.99     2.17     0.12     1.82     1.10     2.18     3.11     3.91     2.91     1.99     0.98     2.59     0.53     0.00     0.00     0.00     0.89     0.00     0.00     0.00     0.00 
GFS0P50H03T00E00 01 06 2021/07/18 99 2021 07 12 00    1.96     2.72     0.00     3.88     0.99     3.47     2.41     2.61     1.77     1.10     1.08     3.72     0.27     2.28     1.84     1.78     2.33     1.04     0.35     0.92     1.81 
GFS0P50H03T00E00 01 07 2021/07/19 99 2021 07 12 00    0.43     0.46     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.14     0.61     0.03     1.55     5.08     4.90     5.94     2.86     4.50     4.91     5.00 
GFS0P50H03T00E00 01 08 2021/07/20 99 2021 07 12 00    0.74     0.54     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.21     0.50     0.22     0.00     0.00     0.00     0.35     0.00     0.00     0.00     0.00 
GFS0P50H03T00E00 01 09 2021/07/21 99 2021 07 12 00    1.30     0.96     0.19     0.12     0.02     0.13     0.15     0.18     0.13     0.09     0.59     0.90     0.99     0.00     0.00     0.00     0.60     0.00     0.00     0.00     0.00 
GFS0P50H03T00E00 01 10 2021/07/22 99 2021 07 12 00    1.19     1.14     0.44     0.18     0.21     0.14     0.05     0.01     0.01     0.01     0.61     1.34     0.45     0.00     0.00     0.00     0.15     0.00     0.00     0.00     0.00 
GFS0P50H03T00E00 01 11 2021/07/23 99 2021 07 12 00    0.74     1.44     0.06     0.42     0.46     0.40     0.33     0.24     0.23     0.23     0.51     2.40     0.08     0.00     0.00     0.00     0.32     0.00     0.00     0.00     0.00 
GFS0P50H03T00E00 01 12 2021/07/24 99 2021 07 12 00    1.52     1.51     0.24     0.06     0.40     0.04     0.00     0.00     0.00     0.00     0.69     1.73     0.65     0.00     0.00     0.00     0.17     0.00     0.00     0.00     0.00 
GFS0P50H03T00E00 01 13 2021/07/25 99 2021 07 12 00    1.86     1.36     0.50     0.04     0.02     0.03     0.00     0.00     0.00     0.00     0.95     1.25     1.58     0.00     0.00     0.00     0.16     0.00     0.00     0.00     0.00 
GFS0P50H03T00E00 01 14 2021/07/26 99 2021 07 12 00    4.78     4.97     1.47     1.08     1.41     0.81     0.13     0.11     0.08     0.06     2.81     5.87     3.15     0.12     2.18     2.10     2.88     1.23     0.42     1.10     2.15 
