00 2021 07 26 00    4.54     4.89     1.47     0.87     1.38     0.69     0.24     0.21     0.16     0.13     2.79     5.97     3.15     0.12     0.76     0.93     0.48     0.08     0.08     0.10     0.83 
00 2021 07 27 00    5.95     5.14     0.52     1.99     1.61     2.11     2.36     2.05     2.28     2.37     2.31     5.11     1.90     0.04     0.56     0.72     0.09     0.00     0.00     0.00     0.63 
01 2021 07 12 00    0.17     0.18     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.24     0.02     0.08     0.05     0.05     1.02     0.03     0.00     0.02     0.05 
01 2021 07 13 00    0.27     0.33     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.48     0.01     0.00     0.02     0.01     0.24     0.01     0.00     0.01     0.02 
01 2021 07 14 00    0.94     1.32     0.00     0.00     0.03     0.00     0.00     0.00     0.00     0.00     0.40     2.05     0.06     0.04     0.00     0.00     0.24     0.00     0.00     0.00     0.00 
01 2021 07 15 00    1.89     1.50     0.06     0.00     0.01     0.01     0.02     0.03     0.02     0.00     0.66     1.55     0.84     0.00     0.00     0.00     0.14     0.00     0.00     0.00     0.00 
01 2021 07 16 00    5.02     3.46     0.09     0.09     0.15     0.10     0.15     0.22     0.13     0.06     2.11     2.89     4.40     0.00     0.00     0.00     0.46     0.00     0.00     0.00     0.00 
01 2021 07 17 00    1.99     2.17     0.12     1.82     1.10     2.18     3.11     3.91     2.91     1.99     0.98     2.59     0.53     0.00     0.00     0.00     0.89     0.00     0.00     0.00     0.00 
01 2021 07 18 00    1.96     2.72     0.00     3.88     0.99     3.47     2.41     2.61     1.77     1.10     1.08     3.72     0.27     2.28     1.84     1.78     2.33     1.04     0.35     0.92     1.81 
01 2021 07 19 00    0.43     0.46     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.14     0.61     0.03     1.55     5.08     4.90     5.94     2.86     4.50     4.91     5.00 
01 2021 07 20 00    0.74     0.54     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.21     0.50     0.22     0.00     0.00     0.00     0.35     0.00     0.00     0.00     0.00 
01 2021 07 21 00    1.30     0.96     0.19     0.12     0.02     0.13     0.15     0.18     0.13     0.09     0.59     0.90     0.99     0.00     0.00     0.00     0.60     0.00     0.00     0.00     0.00 
01 2021 07 22 00    1.19     1.14     0.44     0.18     0.21     0.14     0.05     0.01     0.01     0.01     0.61     1.34     0.45     0.00     0.00     0.00     0.15     0.00     0.00     0.00     0.00 
01 2021 07 23 00    0.74     1.44     0.06     0.42     0.46     0.40     0.33     0.24     0.23     0.23     0.51     2.40     0.08     0.00     0.00     0.00     0.32     0.00     0.00     0.00     0.00 
01 2021 07 24 00    1.52     1.51     0.24     0.06     0.40     0.04     0.00     0.00     0.00     0.00     0.69     1.73     0.65     0.00     0.00     0.00     0.17     0.00     0.00     0.00     0.00 
01 2021 07 25 00    1.86     1.36     0.50     0.04     0.02     0.03     0.00     0.00     0.00     0.00     0.95     1.25     1.58     0.00     0.00     0.00     0.16     0.00     0.00     0.00     0.00 
01 2021 07 26 00    4.78     4.97     1.47     1.08     1.41     0.81     0.13     0.11     0.08     0.06     2.81     5.87     3.15     0.12     2.18     2.10     2.88     1.23     0.42     1.10     2.15 
01 2021 07 27 00    6.51     5.36     0.50     2.03     1.48     2.04     2.08     1.89     2.05     2.11     2.34     5.06     1.85     1.32     0.12     0.12     0.20     0.07     0.04     0.07     0.12 
02 2021 07 12 00    0.17     0.18     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.25     0.02     0.02     0.03     0.03     1.11     0.00     0.04     0.03     0.04 
02 2021 07 13 00    0.27     0.34     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.49     0.01     0.00     0.02     0.01     0.34     0.00     0.02     0.01     0.02 
02 2021 07 14 00    0.93     1.34     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.40     2.10     0.05     0.04     0.00     0.00     0.19     0.00     0.00     0.00     0.00 
02 2021 07 15 00    1.94     1.53     0.05     0.00     0.00     0.01     0.03     0.04     0.02     0.00     0.66     1.58     0.82     0.00     0.00     0.00     0.26     0.00     0.00     0.00     0.00 
02 2021 07 16 00    5.06     3.48     0.08     0.08     0.16     0.07     0.06     0.17     0.07     0.00     2.13     2.89     4.48     0.00     0.00     0.00     0.54     0.00     0.00     0.00     0.00 
02 2021 07 17 00    1.96     2.18     0.13     1.92     1.13     2.29     3.24     4.18     3.07     1.84     0.99     2.65     0.53     0.00     0.00     0.00     0.79     0.00     0.00     0.00     0.00 
02 2021 07 18 00    2.00     2.73     0.00     3.88     0.86     3.32     1.94     2.71     1.79     1.10     1.07     3.77     0.26     1.06     1.23     0.84     1.06     0.46     2.12     1.73     1.27 
02 2021 07 19 00    0.40     0.44     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.14     0.60     0.03     2.80     5.34     3.91    14.10     5.59     4.75     7.80     4.61 
02 2021 07 20 00    0.73     0.52     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.21     0.47     0.23     0.00     0.00     0.00     0.38     0.00     0.00     0.00     0.00 
02 2021 07 21 00    1.31     0.98     0.25     0.10     0.02     0.11     0.14     0.13     0.11     0.10     0.61     0.93     0.95     0.00     0.00     0.00     0.60     0.00     0.00     0.00     0.00 
03 2021 07 12 00    0.17     0.17     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.22     0.02     0.02     0.05     0.05     1.05     0.00     0.04     0.03     0.05 
03 2021 07 13 00    0.26     0.36     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.11     0.55     0.01     0.00     0.01     0.01     0.19     0.00     0.01     0.01     0.01 
03 2021 07 14 00    0.88     1.29     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.39     2.05     0.06     0.02     0.00     0.00     0.24     0.00     0.00     0.00     0.00 
03 2021 07 15 00    2.10     1.57     0.06     0.00     0.00     0.00     0.01     0.01     0.01     0.00     0.76     1.52     1.18     0.00     0.00     0.00     0.29     0.00     0.00     0.00     0.00 
03 2021 07 16 00    4.64     3.25     0.13     0.18     0.17     0.17     0.13     0.28     0.17     0.09     2.03     2.77     4.25     0.00     0.00     0.00     0.57     0.00     0.00     0.00     0.00 
04 2021 07 12 00    0.06     0.08     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.12     0.01     0.01     0.00     0.00     0.54     0.00     0.00     0.00     0.00 
04 2021 07 13 00    0.30     0.42     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.13     0.65     0.02     0.12     0.08     0.07     0.86     0.04     0.01     0.04     0.08 
04 2021 07 14 00    0.96     0.95     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.29     1.20     0.06     0.19     0.04     0.04     0.60     0.02     0.00     0.01     0.04 
04 2021 07 15 00    1.81     1.26     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.43     1.08     0.28     0.06     0.00     0.00     0.13     0.00     0.00     0.00     0.00 
04 2021 07 16 00    7.56     5.59     0.27     0.00     0.10     0.00     0.00     0.00     0.00     0.00     3.11     5.21     5.79     0.00     0.00     0.00     0.15     0.00     0.00     0.00     0.00 
04 2021 07 17 00    0.80     1.07     0.00     0.00     0.02     0.00     0.00     0.00     0.00     0.00     0.34     1.62     0.11     0.00     0.00     0.00     0.24     0.00     0.00     0.00     0.00 
04 2021 07 18 00    2.74     2.96     0.02     0.01     0.01     0.00     0.00     0.00     0.00     0.00     0.99     4.01     0.49     0.00     0.00     0.00     0.24     0.00     0.00     0.00     0.00 
04 2021 07 19 00    2.86     2.56     0.00     0.00     0.14     0.00     0.00     0.00     0.00     0.00     0.81     2.91     0.29     0.37     0.61     0.59     0.95     0.35     0.32     0.45     0.60 
04 2021 07 20 00    1.27     0.73     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.33     0.42     0.49     0.17     0.21     0.20     0.63     0.12     0.41     0.35     0.21 
04 2021 07 21 00    0.47     0.36     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.11     0.35     0.03     0.10     0.04     0.04     0.35     0.02     0.00     0.01     0.04 
04 2021 07 22 00    0.32     0.33     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.10     0.43     0.03     0.00     0.00     0.00     0.02     0.00     0.00     0.00     0.00 
04 2021 07 23 00    0.15     0.24     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.07     0.40     0.00     0.05     0.02     0.02     0.04     0.01     0.04     0.04     0.02 
04 2021 07 24 00    1.10     0.72     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.23     0.55     0.08     1.00     0.36     0.35     0.43     0.21     0.25     0.30     0.36 
04 2021 07 25 00   12.16     6.26     0.27     0.43     0.04     0.31     0.02     0.03     0.02     0.02     2.32     2.37     1.61     0.93     0.44     0.43     0.50     0.25     0.19     0.30     0.43 
04 2021 07 26 00    0.57     0.43     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.22     0.42     0.38     0.19     0.06     0.06     0.06     0.03     0.00     0.02     0.06 
04 2021 07 27 00    7.06     3.53     0.08     0.00     0.00     0.00     0.00     0.00     0.00     0.00     2.18     1.14     4.67     1.35     0.79     0.76     1.10     0.44     0.22     0.44     0.77 
05 2021 07 12 00    0.03     0.05     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.09     0.00     0.09     0.06     0.06     0.67     0.03     0.01     0.03     0.06 
05 2021 07 13 00    0.42     0.49     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.15     0.69     0.01     0.04     0.00     0.00     0.78     0.00     0.00     0.00     0.00 
05 2021 07 14 00    1.32     1.29     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.41     1.63     0.13     0.13     0.00     0.00     0.09     0.00     0.00     0.00     0.00 
05 2021 07 15 00    1.15     0.89     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.35     0.88     0.37     0.05     0.00     0.00     0.39     0.00     0.00     0.00     0.00 
05 2021 07 16 00    6.62     4.24     0.08     0.00     0.01     0.00     0.00     0.00     0.00     0.00     2.26     3.14     4.14     0.00     0.00     0.00     0.97     0.00     0.00     0.00     0.00 
05 2021 07 17 00    0.71     0.84     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.27     1.20     0.09     0.16     0.02     0.02     0.19     0.01     0.00     0.01     0.02 
05 2021 07 18 00    4.09     2.96     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.10     2.72     0.98     0.00     0.00     0.00     0.04     0.00     0.00     0.00     0.00 
05 2021 07 19 00    1.76     1.42     0.00     0.00     0.01     0.00     0.00     0.00     0.00     0.00     0.44     1.49     0.10     0.35     0.31     0.30     0.54     0.17     0.11     0.19     0.30 
05 2021 07 20 00    0.17     0.17     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.05     0.22     0.02     0.00     0.00     0.00     0.52     0.00     0.00     0.00     0.00 
05 2021 07 21 00    0.91     0.57     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.20     0.41     0.13     0.00     0.00     0.00     0.06     0.00     0.00     0.00     0.00 
05 2021 07 22 00    0.21     0.22     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.07     0.31     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00 
05 2021 07 23 00    0.02     0.05     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.01     0.09     0.00     0.00     0.00     0.00     0.04     0.00     0.00     0.00     0.00 
05 2021 07 24 00    0.03     0.05     0.00     0.02     0.00     0.06     0.17     0.06     0.03     0.01     0.02     0.09     0.00     0.00     0.00     0.00     0.22     0.00     0.00     0.00     0.00 
05 2021 07 25 00    0.28     0.23     0.00     0.00     0.00     0.01     0.03     0.00     0.00     0.00     0.07     0.26     0.02     0.05     0.00     0.00     0.99     0.00     0.00     0.00     0.00 
05 2021 07 26 00    4.86     2.63     0.87     0.10     0.18     0.09     0.04     0.08     0.04     0.02     1.45     1.15     1.50     0.06     0.00     0.00     0.54     0.00     0.00     0.00     0.00 
05 2021 07 27 00    6.32     4.57     1.10     5.27     2.29     4.61     2.99     3.49     2.88     2.30     2.61     3.37     2.15     0.22     0.08     0.07     0.30     0.04     0.05     0.06     0.08 
06 2021 07 12 00    0.07     0.07     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.10     0.00     0.02     0.17     0.17     0.84     0.10     0.01     0.07     0.17 
06 2021 07 13 00    0.34     0.47     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.14     0.73     0.03     0.02     0.00     0.00     0.73     0.00     0.00     0.00     0.00 
06 2021 07 14 00    0.89     1.09     0.00     0.00     0.07     0.00     0.00     0.00     0.00     0.00     0.33     1.55     0.06     0.15     0.02     0.02     0.41     0.01     0.00     0.01     0.02 
06 2021 07 15 00    1.30     1.47     0.01     0.00     0.05     0.00     0.00     0.00     0.00     0.00     0.48     2.01     0.22     0.09     0.00     0.00     0.11     0.00     0.01     0.01     0.00 
06 2021 07 16 00    6.45     5.02     0.30     0.00     0.88     0.00     0.00     0.00     0.00     0.00     2.32     4.48     3.11     0.00     0.00     0.00     0.09     0.00     0.00     0.00     0.00 
06 2021 07 17 00    0.66     1.57     0.12     0.00     0.34     0.00     0.00     0.00     0.00     0.00     0.55     2.65     0.22     0.00     0.00     0.00     0.50     0.00     0.00     0.00     0.00 
06 2021 07 18 00    1.48     3.12     0.02     0.00     0.04     0.00     0.00     0.00     0.00     0.00     0.99     5.57     0.33     0.00     0.00     0.00     0.32     0.00     0.00     0.00     0.00 
06 2021 07 19 00    0.85     0.63     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.23     0.60     0.17     0.27     0.17     0.17     0.54     0.10     0.18     0.19     0.17 
06 2021 07 20 00    0.14     0.12     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.04     0.14     0.00     0.35     0.31     0.30     0.43     0.17     0.23     0.27     0.30 
06 2021 07 21 00    0.36     0.22     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.07     0.15     0.03     0.03     0.00     0.00     0.00     0.00     0.00     0.00     0.00 
06 2021 07 22 00    0.08     0.09     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.12     0.00     0.45     0.17     0.17     0.30     0.10     0.19     0.19     0.17 
06 2021 07 23 00    0.07     0.08     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.12     0.00     1.71     1.00     0.96     1.19     0.56     0.17     0.49     0.98 
06 2021 07 24 00    0.11     0.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.03     0.11     0.01     0.10     0.04     0.04     0.04     0.02     0.00     0.01     0.04 
06 2021 07 25 00    0.13     0.14     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.04     0.19     0.01     0.22     0.10     0.09     0.11     0.05     0.03     0.06     0.09 
06 2021 07 26 00    0.26     0.13     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.04     0.05     0.01     0.00     0.00     0.00     0.04     0.00     0.00     0.00     0.00 
06 2021 07 27 00    0.17     0.18     0.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.06     0.23     0.03     0.00     0.00     0.00     0.06     0.00     0.00     0.00     0.00 
07 2021 07 12 00    0.04     0.06     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.02     0.10     0.00     0.02     0.08     0.07     0.63     0.04     0.02     0.04     0.08 
07 2021 07 13 00    0.17     0.21     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.07     0.32     0.02     0.16     0.10     0.09     0.80     0.05     0.03     0.06     0.09 
07 2021 07 14 00    0.49     0.50     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.16     0.65     0.05     0.31     0.21     0.20     0.26     0.12     0.02     0.09     0.21 
