</START/>
</BACIA/>
</OPTIONS: bacia_ruteiras NUMLIN= 6 />
-41.05 -20.55
-41.05 -20.45
-41.05 -20.65
-40.95 -20.55
-40.95 -20.45
-40.95 -20.65
</BACIA/>
</OPTIONS: bacia_francisco_gros NUMLIN= 12 />
  -41.4500   -20.6500
  -41.5500   -20.5500
  -41.4500   -20.5500
  -41.5500   -20.4500
  -41.4500   -20.4500
  -41.6500   -20.3500
  -41.5500   -20.3500
  -41.4500   -20.3500
  -41.6500   -20.2500
  -41.5500   -20.2500
  -41.4500   -20.2500
  -41.3500   -20.2500
</BACIA/>
</OPTIONS: BACIA_DO_RIO_GUAPORE NUMLIN= 475 />
  -64.2500   -20.2500 1
  -64.0000   -20.2500 1
  -63.7500   -20.2500 1
  -63.5000   -20.2500 1
  -64.2500   -20.0000 1
  -64.0000   -20.0000 1
  -63.7500   -20.0000 1
  -63.5000   -20.0000 1
  -63.2500   -20.0000 1
  -63.0000   -20.0000 1
  -64.0000   -19.7500 1
  -63.2500   -19.7500 1
  -63.0000   -19.7500 1
  -62.7500   -19.7500 1
  -63.0000   -19.5000 1
  -62.7500   -19.5000 1
  -62.5000   -19.5000 1
  -63.0000   -19.2500 1
  -62.7500   -19.2500 1
  -62.5000   -19.2500 1
  -62.2500   -19.2500 1
  -63.0000   -19.0000 1
  -62.7500   -19.0000 1
  -62.5000   -19.0000 1
  -62.2500   -19.0000 1
  -62.0000   -19.0000 1
  -61.7500   -19.0000 1
  -63.0000   -18.7500 1
  -62.7500   -18.7500 1
  -62.5000   -18.7500 1
  -62.2500   -18.7500 1
  -62.0000   -18.7500 1
  -61.7500   -18.7500 1
  -61.5000   -18.7500 1
  -61.2500   -18.7500 1
  -61.0000   -18.7500 1
  -60.7500   -18.7500 1
  -62.7500   -18.5000 1
  -62.5000   -18.5000 1
  -62.2500   -18.5000 1
  -62.0000   -18.5000 1
  -61.7500   -18.5000 1
  -61.5000   -18.5000 1
  -61.2500   -18.5000 1
  -61.0000   -18.5000 1
  -60.7500   -18.5000 1
  -60.5000   -18.5000 1
  -62.7500   -18.2500 1
  -62.5000   -18.2500 1
  -62.2500   -18.2500 1
  -62.0000   -18.2500 1
  -61.7500   -18.2500 1
