2001 02      6.0143    6.6654    8.3014    4.0929    3.9496    6.5871    7.4493    8.7300    5.7100    7.9350    8.7186    6.5546    5.4714
2002 02      8.5125    8.5382    9.5382    6.6761    7.9729    8.5682   10.7432    9.0832    7.5489    8.6786    9.0539    7.7364    7.0796
2003 02      6.7325    6.4293    6.1700    6.2229    6.0479    7.0318    7.4189    9.2189    8.8375    9.1179    6.8154    8.1443    8.8100
2004 02      6.3734    5.9545    5.9045    5.2162    5.4766    7.0079    7.4010    7.8693    9.2286    8.2269    7.9972    8.8352    9.2555
2005 02      6.9207    7.9779    8.0257    6.8904    5.5914    5.8450   10.8882   11.2029    9.9100   10.8625    8.4732    9.1771    9.5282
2006 02      6.7214    6.9796    7.2396    5.7593    4.5279    6.9875    9.2782   12.1668    9.2282   11.3932    7.2325    8.4246    9.0204
2007 02      7.9014    9.0536    9.8693    7.9082    7.0646    6.8357    9.5350   11.7346    9.3407   11.1050    8.7021    9.4536    9.8293
2008 02      6.9117    6.8345    7.3831    5.5986    6.6876    7.0221    7.8024    7.6100    7.3990    7.5541    6.1179    6.9124    7.3107
2009 02      8.1368    9.5411    9.8843    8.2743    6.6775    7.5086   11.4596    8.7757    9.6432    9.0039    8.3889    9.2311    9.6525
2010 02      7.7257    9.1854    9.4018    7.2989    6.4796    7.1018   10.9932   10.4568    5.3614    9.1161    5.0007    5.4846    5.7279
2011 02      8.7350   10.2439   10.6254    9.9457    8.7632    7.3929    9.4214    9.4564    7.8900    9.0450    7.8432    7.8425    7.8425
2012 02      9.7507    9.8972    9.9741    9.7783    9.3041    9.4117   10.9314   11.0207   12.5155   11.4138   10.8352   11.8300   12.3283
2013 02      8.0325    8.4057    8.6318    8.4386    6.6936    8.2496    8.7611    9.2807    8.3993    9.0489    8.0682    8.3329    8.4671
2014 02      9.8725   12.3243   11.2814   13.5100    9.2196    8.6700   10.9607    8.3307    5.4768    7.5796    6.9836    6.0771    5.6236
2015 02      5.8779    8.1593    9.3179    7.1357    5.1332    4.9193    5.8461    5.3089    2.3911    4.5414    2.2389    2.3229    2.3668
2016 02      8.2986    8.8090    8.2559    8.7162    7.3441    7.7703   11.6510   11.1459    6.2314    9.8528    7.5017    6.8262    6.4879
2017 02      6.2818    7.2450    7.8825    6.5118    6.7304    5.7243    5.5075    5.0214    4.4214    4.8646    3.2700    3.6279    3.8064
2018 02      6.7775    8.0154    8.4982    7.0496    6.0639    5.3954    9.7707    9.1121   10.2786    9.4179   10.6000   10.1757    9.9632
2019 02      7.2950    8.8336    8.3236    9.6261    7.1846    5.7607    8.5914    7.4546    9.7618    8.0607    9.5750    9.6718    9.7214
2020 02      7.3517    8.4590    9.0955    7.7176    6.2948    6.7334    8.0290   10.2555    8.9252    9.9066    8.8859    9.1945    9.3500
1991 03      6.0984    4.6919    4.5855    4.5448    5.5342    6.8681    7.1555    7.5348   12.6384    8.8768    9.6877   11.6726   12.6661
1992 03      6.0497    4.9706    4.1539    5.3887    5.6374    6.2494    7.9303    9.9194    8.2826    9.4894    7.8987    8.3245    8.5371
1993 03      6.7345    6.7929    7.2371    5.9977    5.2723    7.2277    7.2774    8.9458   10.9426    9.4716    8.0500   10.1290   11.1687
1994 03      4.8677    4.7077    5.0232    4.3777    3.7429    5.3110    5.3987    7.4158    4.9239    6.7600    6.0429    5.3116    4.9474
1995 03      5.6848    5.1913    4.8484    5.4348    4.8974    5.9800    6.8894    8.5332    5.8410    7.8245    7.9477    6.2984    5.4735
1996 03      6.0232    4.9423    5.3458    3.5410    3.8239    7.8519    7.6961    8.6510    7.3561    8.3103    9.1300    7.7094    6.9990
1997 03      8.2342    9.0090    9.4361    7.8100    5.8406    8.1200   11.9242   11.4994   12.5010   11.7619   11.8594   12.2335   12.4223
1998 03      5.0368    5.7255    6.2268    4.5032    3.3639    4.6445    8.0135   10.0310    4.4229    8.5548    6.6671    5.0687    4.2687
1999 03      6.9258    5.6939    5.8906    4.9794    6.6997    8.1203    6.7174    8.4410    4.0387    7.2839    5.6203    4.4968    3.9348
2000 03      6.5729    7.8429    9.2777    5.9865    5.2252    6.3719    6.8916    9.2913    4.9213    8.1413    6.8884    5.5861    4.9358
2001 03      5.3258    6.2765    6.5681    5.0516    4.5284    5.1210    6.5139    6.3000    5.0165    5.9623    4.9726    4.8235    4.7494
2002 03      4.5384    4.3048    4.5984    3.5416    3.9787    4.4081    5.6694    6.9958   10.7603    7.9865    8.6735   10.4390   11.3216
2003 03      7.4506    6.7955    6.9255    6.3142    6.0100    8.0635    8.3577   11.6713   12.9081   11.9971   10.7106   12.3900   13.2300
2004 03      4.3065    4.4506    4.2552    4.3523    3.1700    4.0568    5.2784    8.8487   10.2542    9.2187    7.5958    9.5565   10.5365
2005 03      4.7303    3.7855    3.3219    4.2174    4.6106    4.8332    6.5768    6.2126    5.9535    6.1432    5.4945    5.8358    6.0061
2006 03      4.5958    3.9013    4.1542    3.5332    3.5606    5.5365    4.4616    6.6348    6.4261    6.5803    5.0835    5.6613    5.9510
2007 03      5.4552    5.2381    5.1410    5.2619    5.0258    5.2535    6.3510    7.6119   10.2074    8.2955   10.6600   10.5574   10.5074
2008 03      6.2387    4.7071    3.7610    5.7594    6.5687    7.0297    5.1800    8.1723    8.1235    8.1597    5.5703    7.4213    8.3471
2009 03      7.8997    7.8765    7.2519    6.9203    7.7065    8.1339   10.6665    7.4926    4.5890    6.7281    2.7019    4.0139    4.6710
2010 03      5.3613    7.4506    8.0123    5.8732    3.6048    4.0923    8.4816    9.7184    6.5635    8.8871    6.0429    6.4868    6.7090
2011 03      5.5271    6.6613    6.3703    6.2529    3.7445    4.9981    8.1768    9.4187    7.6297    8.9484    8.6313    7.9745    7.6455
2012 03      4.6448    5.8155    6.0406    5.2503    3.5132    4.0194    5.2006    6.7555   11.5158    8.0077   10.1065   10.9458   11.3661
